OmniDocBench size: 981

OmniDocBench markdown_text BLEU: mean=0.25 median=0.02 std=0.35

| BLEU           |   prob [%] |   acc [%] |   1-acc [%] |   total |
| edit_distance   |   prob [%] |   acc [%] |   1-acc [%] |   total |
|-----------------|------------|-----------|-------------|---------|
| (0.000, 0.050]  |       1.12 |      0    |      100    |      11 |
| (0.050, 0.100]  |       3.57 |      1.12 |       98.88 |      35 |
| (0.100, 0.150]  |      10.09 |      4.69 |       95.31 |      99 |
| (0.150, 0.200]  |       3.36 |     14.78 |       85.22 |      33 |
| (0.200, 0.250]  |       4.49 |     18.14 |       81.86 |      44 |
| (0.250, 0.300]  |       2.34 |     22.63 |       77.37 |      23 |
| (0.300, 0.350]  |       2.65 |     24.97 |       75.03 |      26 |
| (0.350, 0.400]  |       1.53 |     27.62 |       72.38 |      15 |
| (0.400, 0.450]  |       1.73 |     29.15 |       70.85 |      17 |
| (0.450, 0.500]  |       1.02 |     30.89 |       69.11 |      10 |
| (0.500, 0.550]  |       2.04 |     31.91 |       68.09 |      20 |
| (0.550, 0.600]  |       1.22 |     33.94 |       66.06 |      12 |
| (0.600, 0.650]  |       1.53 |     35.17 |       64.83 |      15 |
| (0.650, 0.700]  |       1.33 |     36.7  |       63.3  |      13 |
| (0.700, 0.750]  |       1.73 |     38.02 |       61.98 |      17 |
| (0.750, 0.800]  |       5.4  |     39.76 |       60.24 |      53 |
| (0.800, 0.850]  |       6.01 |     45.16 |       54.84 |      59 |
| (0.850, 0.900]  |       8.36 |     51.17 |       48.83 |      82 |
| (0.900, 0.950]  |      13.46 |     59.53 |       40.47 |     132 |
| (0.950, 1.000]  |      27.01 |     72.99 |       27.01 |     265 |


OmniDocBench markdown_text meteor: mean=0.41 median=0.28 std=0.35

| meteor         |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |      17.53 |      0    |      100    |     172 |
| (0.050, 0.100] |       5.3  |     17.53 |       82.47 |      52 |
| (0.100, 0.150] |      10.5  |     22.83 |       77.17 |     103 |
| (0.150, 0.200] |       7.65 |     33.33 |       66.67 |      75 |
| (0.200, 0.250] |       6.32 |     40.98 |       59.02 |      62 |
| (0.250, 0.300] |       3.87 |     47.3  |       52.7  |      38 |
| (0.300, 0.350] |       3.36 |     51.17 |       48.83 |      33 |
| (0.350, 0.400] |       2.85 |     54.54 |       45.46 |      28 |
| (0.400, 0.450] |       2.24 |     57.39 |       42.61 |      22 |
| (0.450, 0.500] |       2.04 |     59.63 |       40.37 |      20 |
| (0.500, 0.550] |       1.94 |     61.67 |       38.33 |      19 |
| (0.550, 0.600] |       1.33 |     63.61 |       36.39 |      13 |
| (0.600, 0.650] |       2.14 |     64.93 |       35.07 |      21 |
| (0.650, 0.700] |       1.53 |     67.07 |       32.93 |      15 |
| (0.700, 0.750] |       2.45 |     68.6  |       31.4  |      24 |
| (0.750, 0.800] |       3.47 |     71.05 |       28.95 |      34 |
| (0.800, 0.850] |       3.36 |     74.52 |       25.48 |      33 |
| (0.850, 0.900] |       6.52 |     77.88 |       22.12 |      64 |
| (0.900, 0.950] |      11.52 |     84.4  |       15.6  |     113 |
| (0.950, 1.000] |       4.08 |     95.92 |        4.08 |      40 |


