DPBench size: 200

DPBench markdown_text BLEU: mean=0.88 median=0.93 std=0.16

| BLEU           |   prob [%] |   acc [%] |   1-acc [%] |   total |
| (0.350, 0.400]  |        2   |      94.5 |         5.5 |       4 |
| (0.400, 0.450]  |        0   |      96.5 |         3.5 |       0 |
| (0.450, 0.500]  |        2   |      96.5 |         3.5 |       4 |
| (0.500, 0.550]  |        0   |      98.5 |         1.5 |       0 |
| (0.550, 0.600]  |        0   |      98.5 |         1.5 |       0 |
| (0.600, 0.650]  |        0.5 |      98.5 |         1.5 |       1 |
| (0.650, 0.700]  |        0   |      99   |         1   |       0 |
| (0.700, 0.750]  |        0   |      99   |         1   |       0 |
| (0.750, 0.800]  |        0   |      99   |         1   |       0 |
| (0.800, 0.850]  |        0.5 |      99   |         1   |       1 |
| (0.850, 0.900]  |        0   |      99.5 |         0.5 |       0 |
| (0.900, 0.950]  |        0   |      99.5 |         0.5 |       0 |
| (0.950, 1.000]  |        0.5 |      99.5 |         0.5 |       1 |


DPBench markdown_text meteor: mean=0.94 median=0.98 std=0.11

| meteor         |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |        0.5 |       0   |       100   |       1 |
| (0.050, 0.100] |        0   |       0.5 |        99.5 |       0 |
| (0.100, 0.150] |        0   |       0.5 |        99.5 |       0 |
| (0.150, 0.200] |        0   |       0.5 |        99.5 |       0 |
| (0.200, 0.250] |        0   |       0.5 |        99.5 |       0 |
| (0.250, 0.300] |        0   |       0.5 |        99.5 |       0 |
| (0.300, 0.350] |        0   |       0.5 |        99.5 |       0 |
| (0.350, 0.400] |        0.5 |       0.5 |        99.5 |       1 |
| (0.400, 0.450] |        0   |       1   |        99   |       0 |
| (0.450, 0.500] |        0   |       1   |        99   |       0 |
| (0.500, 0.550] |        0   |       1   |        99   |       0 |
| (0.550, 0.600] |        1   |       1   |        99   |       2 |
| (0.600, 0.650] |        0.5 |       2   |        98   |       1 |
| (0.650, 0.700] |        2   |       2.5 |        97.5 |       4 |
| (0.700, 0.750] |        2.5 |       4.5 |        95.5 |       5 |
| (0.750, 0.800] |        1   |       7   |        93   |       2 |
| (0.800, 0.850] |        2   |       8   |        92   |       4 |
| (0.850, 0.900] |        6.5 |      10   |        90   |      13 |
| (0.900, 0.950] |       16   |      16.5 |        83.5 |      32 |
| (0.950, 1.000] |       67.5 |      32.5 |        67.5 |     135 |


